	OR171_67ISO	OR179_67ISO	OR198_67ISO	OR203_67ISO	OR212_67ISO	OR227_67ISO	OR233_67ISI	OR172_67ISI	OR174_67ISI	OR184_67ISI	OR195_67ISI	OR216_67ISI
SLC22A18	1	1	1	0	0	1	1	1	2	1	0	1
SLC22A2	0	0	0	0	0	0	0	0	0	0	0	0
SLC22A23	795	714	598	685	691	703	688	607	730	693	564	651
SLC22A31	0	2	1	3	2	0	0	2	0	0	1	2
SLC22A7	2	3	3	1	3	3	6	1	0	3	2	1
SLC23A1	0	0	0	0	0	0	0	0	0	0	0	0
SLC23A3	0	0	0	1	0	0	0	0	0	0	2	0
SLC24A1	2	0	0	0	3	2	4	0	2	2	2	2
SLC24A2	402	376	308	348	240	471	373	315	371	418	307	460
SLC24A5	0	0	0	0	2	0	0	0	2	0	0	1
SLC25A1	49	37	57	50	46	35	46	48	42	34	36	39
SLC25A10	10	5	9	14	10	10	14	15	13	13	14	11
SLC25A11	56	74	59	56	73	79	65	63	67	70	59	56
SLC25A12	85	79	81	98	82	89	88	83	106	95	76	72
SLC25A13	81	67	40	75	78	68	65	67	57	52	53	53
SLC25A14	156	144	151	136	171	129	151	162	145	152	139	109
SLC25A15	16	19	14	10	13	18	13	6	14	17	7	22
SLC25A16	61	85	45	87	48	79	61	63	58	54	66	78
SLC25A17	17	31	29	32	25	24	33	41	27	32	28	21
SLC25A19	36	38	25	32	18	31	38	41	21	25	32	23
SLC25A20	7	6	7	5	7	12	13	8	7	2	7	15
SLC25A21	5	1	2	4	4	2	3	5	4	1	1	0
SLC25A22	436	361	338	392	437	385	394	379	422	424	374	413
SLC25A24	40	56	52	60	33	40	31	34	60	48	46	44
SLC25A25	124	108	69	88	116	83	90	80	77	94	85	42
SLC25A26	26	31	33	22	24	16	34	23	23	29	17	18
SLC25A27	10	6	7	4	6	3	4	6	8	7	2	9
SLC25A28	86	58	85	93	53	48	74	73	63	69	68	74
SLC25A29	87	115	49	101	48	89	86	77	83	73	84	81
SLC25A3	451	430	410	418	452	428	413	421	527	511	354	409
SLC25A30	25	15	12	10	13	8	10	18	17	21	8	20
SLC25A32	59	44	35	46	36	46	61	47	49	52	47	60
SLC25A33	65	72	62	70	80	101	80	61	77	85	61	70
SLC25A34	19	23	10	13	10	23	13	24	21	28	20	31
SLC25A36	63	81	59	84	61	72	75	90	64	80	57	80
SLC25A37	0	0	0	0	1	0	0	0	0	1	0	0
SLC25A38	25	39	13	17	21	11	16	17	14	30	17	33
SLC25A39	10	6	15	18	20	15	14	13	9	11	15	7
SLC25A4	24	26	27	24	30	32	32	32	32	30	24	22
SLC25A40	1	0	1	0	0	0	0	0	1	0	0	2
SLC25A42	44	44	23	42	27	49	41	35	24	41	39	26
SLC25A43	90	66	61	87	68	72	86	87	93	65	62	54
SLC25A44	101	79	64	125	118	78	89	120	123	119	107	101
SLC25A46	52	68	47	75	40	60	57	70	61	65	49	71
SLC25A47	7	8	21	5	1	10	3	4	12	8	5	16
SLC25A48	2	0	0	0	0	1	0	0	0	0	1	0
SLC25A5	585	556	474	544	577	523	583	538	603	606	574	465
SLC25A51	57	60	54	55	87	57	48	51	62	69	56	54
SLC25A6	609	708	501	580	697	663	598	558	687	631	613	619
SLC26A1	6	5	3	6	7	6	3	11	5	4	4	8
SLC26A11	5	13	2	3	4	4	4	7	9	6	7	6
SLC26A2	2	5	1	6	4	4	2	7	3	4	1	1
SLC26A3	0	0	0	0	0	0	1	0	0	0	0	0
SLC26A4	20	12	11	17	17	13	20	15	23	10	18	23
SLC26A5	25	22	18	25	16	25	23	18	22	19	16	22
SLC26A6	0	0	0	0	0	0	0	0	0	1	0	1
SLC26A7	2	0	1	1	0	1	2	0	0	3	1	1
SLC26A9	3	2	1	4	3	1	1	0	1	1	2	2
SLC27A3	0	2	0	0	0	1	0	0	0	0	3	1
SLC27A4	118	83	73	89	103	114	72	81	113	99	75	100
SLC27A6	0	1	0	1	0	0	1	0	0	0	0	1
SLC28A3	0	1	0	0	0	0	0	0	0	0	0	0
SLC29A1	62	40	31	57	40	37	44	34	49	54	42	30
SLC29A3	9	9	13	19	14	13	8	17	15	7	18	16
SLC29A4	47	45	41	61	58	35	54	63	47	47	32	41
SLC2A1	345	244	206	193	216	181	248	228	194	264	222	189
SLC2A10	5	5	9	3	3	2	1	0	6	2	5	4
SLC2A11	6	1	1	2	0	1	3	3	4	0	0	1
SLC2A12	19	22	37	39	23	21	24	15	23	20	24	37
SLC2A13	299	280	230	349	344	345	332	306	264	268	227	345
SLC2A2	5	6	2	5	1	2	3	3	1	2	3	0
SLC2A4RG	6	2	1	4	5	5	4	1	6	6	6	2
SLC2A6	0	0	0	0	0	3	0	0	1	1	0	0
SLC2A9	1	1	0	0	0	0	1	0	0	0	2	0
SLC30A1	55	34	13	24	34	33	29	27	41	43	25	33
SLC30A10	3	4	2	2	4	5	8	1	6	0	4	1
SLC30A2	0	1	0	0	0	0	0	0	1	0	2	0
SLC30A3	11	12	9	16	18	12	11	19	13	8	16	5
SLC30A4	52	57	36	63	28	44	38	55	47	62	53	89
SLC30A5	118	102	86	115	105	110	101	104	111	96	74	93
SLC30A6	2	7	3	8	8	5	5	7	7	7	7	5
SLC30A7	42	35	29	46	27	43	52	32	25	33	39	26
SLC30A8	1	0	0	0	0	0	0	0	0	0	0	0
SLC30A9	230	192	190	228	222	256	230	221	223	234	204	254
SLC31A1	67	59	46	69	55	53	50	72	50	47	65	42
SLC31A2	10	10	15	8	5	13	10	8	15	8	19	14
SLC32A1	239	263	302	282	249	306	321	248	433	345	168	239
SLC33A1	79	70	52	62	35	76	55	68	35	58	62	37
SLC34A1	2	0	0	0	1	1	2	1	0	0	0	1
SLC34A2	0	0	0	0	0	0	0	0	0	0	0	1
SLC35A1	47	44	38	41	35	43	43	38	30	32	39	40
SLC35A2	3	3	4	3	4	5	5	1	5	1	1	1
SLC35A3	21	24	29	23	24	19	18	13	20	20	25	24
SLC35A4	32	27	21	29	40	29	35	40	41	26	39	16
SLC35A5	61	61	43	78	55	62	57	59	60	62	49	44
SLC35B1	141	119	94	136	154	98	116	133	126	115	125	82
SLC35B2	40	35	41	40	30	31	45	42	46	39	40	34
SLC35B3	42	38	40	51	60	37	52	45	51	36	56	48
SLC35B4	90	85	77	105	97	58	103	82	92	90	77	85
SLC35C1	56	38	48	45	37	43	48	52	41	72	49	45
SLC35C2	213	171	179	241	134	125	230	214	129	168	216	177
SLC35D2	4	6	1	5	3	3	2	4	2	2	9	3
SLC35D3	34	29	29	60	73	59	64	33	41	37	39	33
SLC35E1	108	99	77	101	116	104	110	88	89	86	90	85
SLC35E3	216	197	145	212	182	187	231	198	222	203	176	147
SLC35E4	0	0	1	2	0	0	1	0	0	0	0	1
SLC35F1	365	257	199	318	284	248	273	323	289	264	223	249
SLC35F2	8	7	3	6	5	9	6	7	12	8	8	3
SLC35F3	89	51	68	80	94	45	53	87	74	72	63	60
SLC35F4	16	27	11	11	6	29	16	11	16	19	18	31
SLC35F5	75	97	108	100	114	88	119	102	108	113	91	84
SLC35G1	30	28	19	12	26	21	11	22	20	17	19	24
SLC35G2	17	21	7	16	41	10	13	29	32	16	20	20
SLC36A4	20	16	6	18	20	16	13	16	30	15	23	14
SLC37A1	75	66	65	87	47	82	66	79	102	78	79	83
SLC37A2	54	71	57	42	55	78	45	50	52	33	48	38
SLC37A3	81	53	85	79	53	60	70	55	43	51	62	59
SLC37A4	53	54	45	53	58	69	49	35	50	46	46	63
SLC38A1	250	275	194	254	273	276	285	238	218	262	225	222
SLC38A10	5	9	6	8	10	11	9	14	7	8	14	9
SLC38A11	8	6	10	8	7	10	5	12	15	5	11	14
SLC38A2	388	304	268	286	271	348	278	282	269	324	289	274
SLC38A3	31	28	29	27	14	29	24	28	21	29	13	20
SLC38A4	1	0	1	1	0	0	1	0	0	0	0	0
SLC38A6	10	14	7	19	16	13	13	12	14	17	7	21
SLC38A7	119	90	100	102	123	98	107	95	90	121	110	98
SLC38A8	2	6	4	2	1	7	3	7	5	0	3	2
SLC38A9	56	39	47	51	40	40	43	44	71	59	41	39
SLC39A1	2	1	2	1	4	4	3	2	5	3	1	1
SLC39A10	102	99	112	151	116	98	102	130	88	91	104	85
SLC39A11	23	46	21	29	33	53	28	17	17	44	72	25
SLC39A12	66	64	52	60	72	51	56	42	70	47	53	62
SLC39A13	44	38	50	42	34	44	34	28	23	38	31	34
SLC39A14	1	1	1	0	1	0	1	2	5	0	1	1
SLC39A3	65	33	37	61	49	47	52	38	50	47	62	59
SLC39A5	0	0	0	0	0	0	0	0	0	0	2	0
SLC39A6	243	191	230	265	206	224	201	169	158	178	188	216
SLC39A7	3	0	0	0	1	0	2	0	0	2	0	1
SLC39A8	3	5	5	3	9	10	1	4	9	16	9	9
SLC39A9	35	46	24	29	35	19	23	37	35	36	35	33
SLC3A1	5	2	1	1	0	1	9	2	0	3	3	0
SLC40A1	55	47	33	59	36	81	49	41	59	63	35	61
SLC41A1	51	49	30	41	35	31	28	39	44	36	34	47
SLC41A2	22	26	20	34	35	27	24	25	22	22	24	20
SLC41A3	20	17	15	45	19	27	23	14	23	21	26	18
SLC43A2	68	82	89	91	95	85	70	73	83	110	84	100
SLC43A3	29	29	15	55	55	22	38	65	25	18	32	20
SLC44A1	34	23	29	32	18	28	21	32	28	30	33	17
SLC44A3	21	24	31	22	19	23	13	18	32	25	31	21
SLC44A5	139	157	119	124	129	130	131	111	168	147	100	113
SLC45A1	81	94	61	120	50	106	88	96	59	68	79	103
SLC45A2	4	1	2	1	2	2	1	2	2	0	3	1
SLC45A3	1	2	0	0	0	3	1	0	0	0	0	0
SLC45A4	228	249	180	216	138	283	214	205	177	253	200	199
SLC46A1	10	3	1	13	3	1	3	12	8	5	3	3
SLC46A2	7	0	7	6	4	11	7	8	4	3	6	5
SLC46A3	26	57	28	37	22	35	29	24	44	31	43	28
SLC49A3	69	63	38	86	72	44	62	61	51	69	45	43
SLC49A4	257	243	224	239	243	240	238	233	226	245	195	196
SLC4A1	9	9	4	5	19	5	6	4	7	6	10	6
SLC4A10	877	976	804	1125	951	1022	960	1057	965	1016	798	902
SLC4A11	15	34	50	101	63	29	36	73	42	41	58	29
SLC4A1AP	173	112	124	198	220	185	161	165	199	160	194	158
SLC4A2	4	6	5	7	10	8	8	10	7	7	11	8
SLC4A3	96	77	83	101	91	104	132	99	84	79	81	64
SLC4A4	429	326	304	406	375	484	363	308	331	323	349	441
SLC4A7	15	20	22	23	21	17	26	27	21	17	9	30
SLC4A8	163	226	147	173	174	164	212	141	196	206	221	144
SLC4A9	8	9	5	9	5	6	7	5	4	3	5	5
SLC50A1	14	8	14	14	8	8	11	11	17	7	14	16
SLC51A	1	2	1	2	2	1	1	1	1	2	0	2
SLC51B	0	0	0	1	0	0	1	0	0	0	0	0
SLC52A3	6	4	7	2	3	4	2	6	6	3	5	10
SLC5A1	4	5	1	4	4	6	3	1	5	2	3	2
SLC5A11	6	0	1	1	0	0	1	1	5	5	0	2
SLC5A12	0	0	0	0	0	0	0	0	0	0	0	0
SLC5A5	2	0	0	0	0	2	0	0	0	0	1	1
SLC5A6	1	7	2	4	3	6	3	0	1	4	5	3
SLC5A7	2	1	0	0	3	1	0	0	1	0	1	1
SLC5A8	0	0	0	0	0	0	0	0	0	0	0	0
SLC5A9	0	0	1	0	0	0	0	0	0	0	0	0
SLC66A1	1	4	3	9	4	3	3	6	11	3	6	3
SLC66A2	58	54	41	62	50	59	64	67	38	40	62	35
SLC66A3	5	1	1	6	3	2	2	6	0	5	2	2
SLC6A1	1308	1307	1053	1472	1026	1461	1286	1254	1308	1444	1197	1241
SLC6A11	168	181	146	179	367	178	163	172	213	127	158	209
SLC6A12	1	4	0	2	2	1	2	2	5	2	3	0
SLC6A14	0	1	1	1	0	2	0	4	0	2	0	1
SLC6A15	62	47	53	58	71	50	57	52	42	68	50	45
SLC6A17	370	450	303	301	404	625	409	296	336	407	355	298
SLC6A2	9	9	6	3	8	7	7	10	11	13	2	3
SLC6A20	38	26	31	43	32	22	37	21	21	32	25	31
SLC6A4	2	3	1	0	6	3	4	1	3	3	0	5
SLC6A5	1	0	0	0	0	0	0	0	0	0	0	0
SLC6A6	124	106	146	175	117	158	155	185	161	199	109	156
SLC6A7	21	17	32	75	73	14	43	44	23	17	26	15
SLC6A8	174	193	151	144	154	158	164	148	179	161	146	172
SLC6A9	89	105	94	124	117	121	103	92	116	143	98	75
SLC7A1	72	73	72	77	53	70	80	78	69	63	65	92
SLC7A10	7	13	14	32	31	13	15	29	26	23	11	23
SLC7A11	15	6	3	2	3	8	13	4	17	7	1	4
SLC7A13	0	0	2	0	0	1	0	0	0	0	0	0
SLC7A14	48	35	35	78	66	25	35	53	62	42	46	39
SLC7A2	9	4	0	4	7	6	2	8	8	2	7	4
SLC7A3	21	22	22	32	23	28	32	16	26	23	26	17
SLC7A4	69	61	59	66	53	49	45	55	69	57	49	67
SLC7A5	24	35	23	54	23	5	10	13	34	21	6	29
SLC7A6	23	35	21	33	20	24	18	33	32	28	26	29
SLC7A6OS	91	61	89	90	68	65	77	94	129	94	83	80
SLC7A9	0	0	0	0	0	2	2	2	0	1	0	1
SLC8A1	303	226	208	327	371	168	247	246	213	223	221	237
SLC8A3	71	74	70	85	61	81	62	80	88	81	65	61
SLC8B1	76	58	45	55	29	51	53	64	75	52	60	62
SLC9A1	43	54	40	54	70	43	61	48	61	61	56	45
SLC9A3	3	4	0	1	2	5	4	5	6	2	2	3
SLC9A3R1	107	88	94	101	82	100	104	108	114	117	66	80
SLC9A3R2	255	267	216	287	249	272	287	307	329	265	259	243
SLC9A5	79	68	73	84	66	69	82	92	78	83	96	75
SLC9A6	61	83	40	74	63	65	72	59	63	65	52	63
SLC9A7	73	77	77	76	73	75	70	79	114	72	65	75
SLC9A8	34	43	42	40	46	38	39	37	47	43	34	37
SLC9A9	11	6	4	1	22	7	2	2	3	2	2	6
SLC9B2	21	23	24	22	16	24	22	27	20	11	22	11
SLCO2A1	6	9	2	4	4	4	5	8	4	11	4	1
SLCO2B1	0	3	5	2	2	2	5	3	9	2	4	2
SLCO3A1	9	5	4	5	8	7	2	7	20	5	5	6
SLCO4A1	8	6	12	5	6	8	8	6	2	3	15	10
SLCO4C1	0	1	0	1	0	0	0	0	0	0	0	1
SLCO5A1	53	52	65	32	51	71	83	49	59	77	40	55
SLF1	95	113	120	162	129	127	117	126	121	111	106	122
SLF2	42	43	44	49	38	51	39	42	47	39	49	64
SLIT1	152	136	146	328	234	92	169	250	116	153	153	178
SLIT2	14	5	14	20	31	6	18	10	14	5	7	15
SLIT3	51	42	31	40	61	36	34	43	30	23	31	35
SLITRK1	648	529	564	830	486	416	647	690	518	604	513	447
SLITRK2	54	55	56	75	77	78	58	66	63	77	58	80
SLITRK3	70	94	66	111	89	91	107	102	56	68	81	56
SLITRK4	353	313	377	493	301	430	404	378	403	343	332	376
SLITRK5	59	76	71	101	70	75	74	78	61	72	71	76
SLITRK6	6	5	8	8	55	10	11	8	5	5	11	11
SLK	235	218	173	265	244	219	237	275	228	245	192	202
SLMAP	345	255	236	284	251	296	301	236	280	270	244	264
SLN	0	1	1	2	0	0	0	1	2	0	0	1
SLTM	214	192	165	201	197	203	186	227	159	190	195	149
SLU7	77	36	84	81	89	95	118	94	93	100	98	64
SLX4	36	24	26	30	17	30	24	36	22	28	27	22
SLX4IP	29	31	22	31	29	34	31	25	33	30	41	37
SMAD1	67	63	60	73	47	35	50	56	65	51	57	38
SMAD2	114	112	88	138	129	118	115	120	147	108	86	109
SMAD4	5	3	1	7	5	3	1	7	2	9	8	3
SMAD5	15	14	8	10	9	12	18	10	6	3	10	7
SMAD6	55	38	37	49	43	28	35	43	43	42	42	29
SMAD7	81	91	116	132	157	80	124	114	142	114	96	63
SMAD9	25	10	16	19	27	29	15	27	17	16	3	12
SMAGP	0	0	1	1	1	0	0	0	1	1	0	0
SMAP1	255	207	208	267	257	229	220	245	254	236	219	215
SMAP2	156	185	119	140	154	155	164	144	183	131	148	118
SMARCA1	359	364	330	705	405	363	436	435	358	420	284	340
SMARCA2	490	507	442	553	658	491	509	520	503	530	467	455
SMARCA5	80	92	63	104	94	82	90	75	91	82	68	101
SMARCAD1	47	41	34	45	37	30	51	42	33	45	27	38
SMARCAL1	12	7	14	15	10	13	11	27	17	13	13	11
SMARCB1	141	92	105	107	91	100	86	94	101	105	97	80
SMARCC1	181	108	108	130	100	104	143	113	124	120	102	112
SMARCC2	0	4	0	2	2	2	3	8	1	4	3	4
SMARCD1	38	27	18	42	43	38	33	31	27	20	39	26
SMARCD2	15	12	6	10	10	16	13	7	9	12	13	10
SMARCD3	233	237	216	261	222	196	220	242	237	233	224	178
SMARCE1	89	100	66	105	112	94	83	79	98	82	79	90
SMC1A	20	18	16	17	19	35	21	18	22	30	19	16
SMC1B	1	1	2	8	1	2	2	3	0	0	3	2
SMC2	19	14	15	7	10	13	19	10	22	17	17	11
SMC3	333	342	293	311	280	379	301	310	346	334	299	297
SMC4	16	12	6	6	13	9	16	12	13	13	18	8
SMC5	258	247	236	244	218	250	236	242	270	252	225	237
SMC6	86	68	107	93	110	138	145	101	86	99	81	93
SMCHD1	60	74	49	68	55	77	58	70	58	72	58	49
SMCO3	2	1	0	2	2	0	2	3	3	2	3	2
SMCO4	4	12	4	10	6	7	14	10	5	8	11	5
SMCR8	96	65	53	76	77	61	57	57	79	75	62	69
SMDT1	255	250	227	250	206	236	262	314	321	194	226	233
SMG1	74	74	70	80	49	57	63	79	55	83	60	67
SMG5	216	194	167	233	212	188	199	193	153	167	195	127
SMG6	20	18	28	31	21	28	25	32	18	25	22	24
SMG7	108	115	88	95	117	128	102	128	89	119	117	91
SMG8	70	54	41	54	54	40	58	60	55	53	63	47
SMG9	33	20	42	46	42	41	33	49	38	30	67	28
SMIM11A	103	65	97	90	65	45	97	89	68	78	93	87
SMIM12	64	53	51	41	60	24	41	49	52	41	36	45
SMIM13	156	135	139	139	150	136	142	128	148	132	140	138
SMIM14	169	155	143	166	145	151	145	128	150	168	119	167
SMIM15	107	100	81	86	96	71	100	95	109	84	81	71
SMIM18	38	31	26	25	31	27	28	29	34	37	17	29
SMIM19	115	143	106	105	150	113	114	135	136	146	134	121
SMIM20	126	84	81	99	106	93	114	92	124	71	96	90
SMIM24	0	0	2	0	0	0	0	1	0	0	0	0
SMIM26	65	67	43	65	56	38	35	70	80	47	28	38
SMIM28	3	6	1	0	1	0	1	3	1	1	1	2
SMIM29	5	13	11	9	13	8	6	14	2	5	7	9
SMIM3	5	7	3	5	8	6	4	3	3	4	6	7
SMIM30	60	44	60	73	76	56	53	63	70	50	64	56
SMIM32	37	33	52	78	37	29	51	70	56	47	72	42
SMIM33	0	0	0	0	0	0	0	0	0	0	0	1
SMIM35	3	1	2	1	5	2	2	0	2	1	1	4
SMIM38	1	2	1	2	1	1	0	0	2	1	1	1
SMIM4	114	104	119	140	118	138	126	151	132	128	110	128
SMIM5	10	20	9	13	11	16	12	15	8	13	14	10
SMIM7	158	151	136	208	148	135	142	159	128	136	155	159
SMIM8	26	15	11	7	29	14	18	16	15	28	8	24
SMN1	206	218	165	230	189	183	215	201	221	175	189	166
SMNDC1	101	68	81	94	86	89	83	86	88	103	64	66
SMO	43	26	26	15	27	31	24	23	20	17	12	19
SMOC1	44	55	63	75	56	50	44	58	72	52	35	92
SMOC2	10	17	9	11	12	9	15	10	14	12	10	12
SMOX	204	150	160	183	142	216	166	212	170	205	144	208
SMPD1	168	116	84	168	71	113	95	139	119	96	87	93
SMPD2	7	10	5	11	9	9	15	4	15	13	7	5
SMPD3	334	408	337	406	295	278	315	378	377	364	351	364
SMPD4	47	22	29	36	28	42	37	38	36	34	27	25
SMPDL3A	31	18	22	29	24	22	19	25	27	24	15	29
SMPDL3B	1	11	5	5	7	5	5	13	13	18	3	8
SMPX	0	0	1	0	2	3	0	0	5	3	0	10
SMS	266	281	208	269	331	285	254	268	315	282	274	332
SMTN	33	33	38	46	32	48	38	49	33	30	41	38
SMTNL1	0	1	3	9	2	1	0	1	2	1	7	3
SMTNL2	42	50	47	47	45	68	45	35	70	40	28	48
SMU1	120	152	109	141	152	115	135	131	151	148	122	137
SMURF1	39	47	54	51	51	49	37	57	52	43	34	40
SMURF2	28	24	34	42	31	36	35	44	28	37	22	28
SMYD1	2	0	2	1	0	1	1	3	3	0	2	3
SMYD2	41	39	31	26	28	42	24	33	36	21	32	32
SMYD3	2	3	4	4	8	2	1	5	5	4	3	4
SMYD4	61	38	32	31	24	41	32	27	36	33	17	25
SMYD5	23	21	25	40	23	20	25	20	22	30	27	27
SNAI1	0	0	0	1	1	0	0	0	0	0	1	0
SNAI2	3	3	0	3	12	3	3	6	7	3	4	5
SNAP23	16	15	10	29	20	26	9	28	32	26	15	32
SNAP25	2857	2845	1987	2305	2231	2995	2455	2387	2662	2732	2365	2697
SNAP29	169	183	129	143	171	161	168	195	202	172	151	139
SNAP47	73	73	81	99	82	84	97	88	84	106	103	82
SNAP91	688	681	555	716	764	675	670	677	606	677	594	631
SNAPC1	136	122	76	119	79	73	104	89	91	56	86	85
SNAPC3	26	23	19	24	20	18	23	31	16	27	23	25
SNAPC4	89	63	57	83	62	51	66	76	62	55	59	60
SNAPC5	209	165	118	161	128	166	163	162	184	208	127	134
SNAPIN	59	48	39	57	49	52	39	49	73	41	67	55
SNCA	1166	1100	1091	1541	1166	1004	1093	1298	1098	1236	1004	1034
SNCAIP	35	31	29	41	19	45	30	33	23	39	36	44
SNCB	1100	1244	916	1109	1233	1160	1004	1102	1198	1155	1002	1030
SNCG	16	7	15	29	166	7	14	32	19	18	6	32
SND1	0	2	3	1	5	2	3	2	3	1	1	3
SNED1	26	32	23	39	24	31	22	34	18	19	25	39
SNF8	132	111	115	108	126	139	153	83	159	115	112	103
SNIP1	29	32	23	22	24	22	31	30	24	31	22	20
SNN	97	92	75	97	95	68	78	75	106	86	83	77
SNORC	9	9	8	17	1	8	8	8	5	4	17	11
SNPH	228	170	143	224	180	190	220	209	204	220	213	211
SNRK	290	245	227	276	282	243	260	262	265	280	221	271
SNRNP25	73	81	57	41	55	77	58	65	66	79	61	74
SNRNP27	190	147	161	188	180	118	159	216	197	199	169	153
SNRNP35	43	27	41	22	29	26	36	26	36	27	35	24
SNRNP48	95	80	68	70	77	88	87	90	107	88	70	73
SNRNP70	24	42	19	21	16	47	18	16	10	11	28	26
SNRPA	69	64	45	76	71	56	53	56	70	53	66	51
SNRPA1	20	21	22	13	31	29	32	34	28	21	23	19
SNRPB	79	71	60	79	70	56	59	71	70	64	62	58
SNRPB2	85	72	59	85	60	68	73	80	91	96	71	58
SNRPC	184	68	49	93	74	63	67	74	78	81	71	52
SNRPD1	151	143	137	118	173	139	129	159	129	142	127	101
SNRPD2	0	1	0	0	0	0	0	0	0	0	3	0
SNRPD3	269	202	196	227	265	208	232	213	270	208	199	180
SNRPE	117	75	70	79	98	99	81	82	102	93	88	62
SNRPF	189	186	145	170	208	151	170	207	217	203	176	132
SNRPG	62	74	43	75	92	39	78	91	56	71	71	51
SNTA1	42	32	38	52	43	25	36	53	35	53	45	29
SNTB1	98	97	75	116	76	110	112	112	91	111	95	125
SNTB2	3	2	1	1	2	4	2	4	1	5	4	3
SNTG1	208	226	144	148	125	214	181	165	143	190	170	178
SNTG2	3	2	0	2	1	3	1	1	2	2	1	0
SNTN	0	0	2	1	1	0	0	1	3	0	0	1
SNU13	53	25	50	62	62	52	56	35	47	54	54	60
SNUPN	25	23	19	17	23	15	16	25	25	21	30	26
SNW1	263	235	213	254	217	237	246	233	264	251	245	233
SNX1	58	66	56	59	64	62	60	61	54	58	48	47
SNX10	174	132	115	119	98	95	102	112	121	108	107	120
SNX11	11	12	6	12	22	8	16	12	7	25	3	13
SNX12	227	261	271	285	307	241	235	282	338	263	275	233
SNX13	96	130	99	111	118	127	107	118	116	128	98	118
SNX14	99	106	59	90	85	83	74	71	100	79	62	92
SNX16	9	14	5	18	9	9	12	15	11	13	10	8
SNX17	61	27	42	38	42	34	39	39	55	33	53	47
SNX18	29	27	22	30	30	28	28	27	30	29	19	17
SNX19	21	34	28	54	33	27	26	30	15	44	25	39
SNX2	198	197	160	181	188	172	153	177	202	165	153	143
SNX20	1	1	2	0	2	4	1	0	1	0	1	1
SNX21	92	53	59	63	75	65	57	77	66	92	65	55
SNX22	1	1	0	0	0	0	0	2	0	0	0	0
SNX24	53	82	63	86	65	60	60	77	83	66	61	70
SNX25	94	91	88	89	86	112	90	93	122	102	108	90
SNX29	85	71	57	88	75	76	79	70	73	80	69	120
SNX3	214	185	163	228	248	179	214	237	216	185	184	184
SNX30	57	72	50	82	58	49	65	79	56	71	63	65
SNX33	53	52	29	45	34	34	30	37	32	33	24	40
SNX4	16	27	18	33	26	22	24	30	31	29	26	26
SNX5	31	26	20	23	24	20	24	23	45	20	24	27
SNX6	118	114	86	122	111	104	117	99	120	94	109	95
SNX7	17	14	8	11	16	11	14	14	10	14	16	24
SNX8	27	10	19	33	25	13	30	34	27	23	15	15
SNX9	78	69	57	55	50	57	80	62	60	85	80	69
SOAT1	17	13	8	14	14	17	17	11	15	10	11	20
SOBP	225	183	129	222	177	177	161	179	160	187	175	174
SOCS1	4	0	1	2	2	2	2	1	2	1	3	4
SOCS2	1	0	2	0	1	1	0	1	0	0	0	0
SOCS3	1	0	0	3	0	0	0	0	0	0	1	1
SOCS4	31	44	22	20	42	30	23	37	33	26	27	21
SOCS5	94	91	77	74	77	102	92	89	119	102	91	93
SOCS6	63	74	70	68	59	61	62	68	85	61	51	55
SOCS7	117	99	44	120	78	64	111	69	82	90	91	54
SOD1	781	677	567	699	731	655	634	712	830	659	591	524
SOD2	295	275	179	258	310	337	249	256	340	273	248	227
SOD3	10	11	9	9	16	5	7	8	13	7	6	4
SOGA1	63	63	75	72	78	77	62	57	60	46	63	72
SOGA3	696	888	695	1043	702	836	831	852	646	744	611	677
SON	387	352	368	420	306	360	412	336	323	345	320	336
SORBS1	181	208	150	211	162	223	211	235	137	170	152	126
SORBS2	343	477	440	442	286	401	398	461	315	456	372	426
SORBS3	1	5	0	2	0	2	3	4	0	1	1	1
SORCS1	229	301	183	298	196	161	232	265	209	245	228	218
SORCS2	137	147	126	176	197	187	181	141	130	146	180	166
SORCS3	204	334	232	298	241	255	250	300	235	292	199	190
SORD	46	54	57	35	67	36	44	58	55	40	39	52
SORL1	467	489	363	374	337	491	413	372	344	422	415	394
SOS1	79	70	54	74	65	95	75	87	63	80	70	64
SOS2	35	42	35	52	33	46	44	48	43	45	31	37
SOST	4	0	2	0	4	5	2	2	0	7	2	2
SOSTDC1	37	46	54	80	63	21	48	84	92	53	66	23
SOWAHA	45	28	28	25	31	18	29	40	38	31	22	24
SOWAHB	0	0	0	0	0	0	0	0	0	0	0	0
SOWAHD	2	0	0	0	2	0	4	0	1	3	4	0
SOX1	1	4	2	0	6	3	2	3	5	9	4	2
SOX10	10	16	9	13	19	20	12	12	23	12	8	13
SOX11	109	64	65	89	104	76	100	94	83	90	56	69
SOX12	51	65	39	44	43	42	46	49	42	32	42	31
SOX13	0	0	2	0	0	1	0	1	1	0	1	1
SOX14	3	4	2	1	4	5	1	3	3	1	0	1
SOX18	25	28	29	23	33	39	23	28	29	28	24	20
SOX2	176	98	144	120	193	143	130	124	151	132	115	97
SOX21	151	131	103	119	101	130	115	130	127	122	131	113
SOX4	499	517	444	550	448	468	555	535	576	550	446	291
SOX5	268	281	218	242	177	240	245	221	165	257	225	215
SOX6	128	99	92	103	75	111	101	98	85	101	105	131
SOX7	6	10	9	7	13	7	8	7	12	11	9	17
SOX8	68	103	86	104	141	87	99	102	121	110	87	48
SOX9	385	314	245	392	294	289	291	263	284	264	292	353
